CustomerID,Total_Revenue,Order_Count,Country,Customer_Cancellation_Count
12346,77183.6,1,United Kingdom,1.0
12347,4310.0,7,Iceland,0.0
12348,1437.24,4,Finland,0.0
12349,1457.55,1,Italy,0.0
12350,294.4,1,Norway,0.0
12352,1385.74,7,Norway,3.0
12353,89.0,1,Bahrain,0.0
12354,1079.4,1,Spain,0.0
12355,459.4,1,Bahrain,0.0
12356,2487.43,3,Portugal,0.0
12357,6207.67,1,Switzerland,0.0
12358,928.0600000000001,2,Austria,0.0
12359,6310.03,4,Cyprus,2.0
12360,2302.06,3,Austria,0.0
12361,174.9,1,Belgium,0.0
12362,4737.2300000000005,10,Belgium,3.0
12363,552.0,2,Unspecified,0.0
12364,1208.1,4,Belgium,0.0
12365,320.69,1,Cyprus,1.0
12367,150.9,1,Denmark,0.0
12370,3421.94,4,Cyprus,0.0
12371,1527.96,1,Switzerland,0.0
12372,1196.04,3,Denmark,0.0
12373,324.6,1,Austria,0.0
12374,622.93,1,Austria,0.0
12375,377.5,2,Finland,1.0
12377,1548.1200000000001,2,Switzerland,0.0
12378,4008.62,1,Switzerland,0.0
12379,777.24,2,Belgium,1.0
12380,2427.81,4,Belgium,1.0
12381,1474.81,3,Norway,1.0
12383,1628.56,5,Belgium,1.0
12384,425.27000000000004,2,Switzerland,1.0
12386,401.9,2,Australia,0.0
12388,2780.66,6,Australia,0.0
12390,504.84,1,Belgium,0.0
12391,439.66,1,Cyprus,0.0
12393,1582.6000000000001,4,Australia,0.0
12394,1080.48,2,Belgium,0.0
12395,2682.63,12,Belgium,3.0
12397,2214.9,2,Belgium,0.0
12398,1435.6599999999999,1,Switzerland,0.0
12399,1033.65,4,Belgium,0.0
12401,69.3,1,Belgium,0.0
12402,195.6,1,Belgium,0.0
12403,391.7,1,Denmark,1.0
12405,1390.39,1,Finland,0.0
12406,3415.3,2,Denmark,1.0
12407,1507.12,5,Belgium,0.0
12408,2618.55,5,Belgium,4.0
12409,11072.67,3,Switzerland,4.0
12410,533.33,2,Switzerland,1.0
12412,1142.88,3,Denmark,0.0
12413,686.1,3,France,2.0
12414,442.40999999999997,3,Austria,0.0
12415,124564.53,20,Australia,5.0
12417,3226.1,9,Belgium,3.0
12418,668.58,1,Switzerland,0.0
12420,600.39,1,Cyprus,0.0
12421,639.04,4,Spain,1.0
12422,683.5600000000001,3,Australia,0.0
12423,1634.31,8,Belgium,1.0
12424,1760.96,2,Australia,0.0
12425,777.2,1,Portugal,0.0
12426,510.73,1,Germany,0.0
12427,699.8,3,Germany,2.0
12428,6405.26,8,Finland,3.0
12429,3388.4,4,Denmark,0.0
12430,216.4,1,Norway,0.0
12431,6314.95,15,Australia,3.0
12432,4359.32,4,Norway,0.0
12433,13375.87,7,Norway,0.0
12434,806.14,2,Australia,2.0
12435,7829.89,2,Denmark,0.0
12436,429.01,1,Norway,0.0
12437,4447.41,18,France,1.0
12438,2466.85,2,Norway,0.0
12441,155.55,1,France,0.0
12442,144.06,1,Spain,0.0
12444,4085.46,5,Norway,0.0
12445,77.4,1,Spain,0.0
12446,1002.3100000000001,1,RSA,0.0
12447,431.49,1,Belgium,0.0
12448,365.45,1,Spain,0.0
12449,3596.29,4,Belgium,0.0
12450,197.88,2,Spain,0.0
12451,8995.52,5,Switzerland,1.0
12452,348.57,1,Switzerland,1.0
12453,707.09,1,Austria,0.0
12454,3528.34,1,Spain,1.0
12455,2339.86,5,Cyprus,0.0
12456,2581.04,3,Switzerland,1.0
12457,2043.23,6,Switzerland,5.0
12458,787.4,2,Switzerland,0.0
12461,626.88,1,Switzerland,0.0
12462,937.59,2,Spain,2.0
