StockCode,Description,Revenue,Units_Sold,Avg_Unit_Price
10002,INFLATABLE POLITICAL GLOBE,759.89,860,1.086619718309859
10080,GROOVY CACTUS INFLATABLE,119.08999999999999,303,0.41090909090909095
10120,DOGGY RUBBER,40.32,192,0.21
10123C,HEARTS WRAPPING TAPE,3.25,5,0.65
10124A,SPOTS ON RED BOOKCOVER TAPE,6.72,16,0.42000000000000004
10124G,ARMY CAMO BOOKCOVER TAPE,7.14,17,0.42
10125,MINI FUNKY DESIGN TAPES,993.99,1295,0.8597849462365591
10133,COLOURING PENCILS BROWN TUBE,1539.6,2856,0.6525510204081633
10135,COLOURING PENCILS BROWN TUBE,2204.89,2229,1.4128813559322033
11001,ASSTD DESIGN RACING CAR PEN,2389.44,1615,1.89
15030,FAN BLACK FRAME,41.47,143,0.29
15034,PAPER POCKET TRAVELING FAN,840.0200000000001,6591,0.3739855072463768
15036,ASSORTED COLOURS SILK FAN,18569.84,23826,1.0677649325626204
15039,SANDALWOOD FAN,1978.6399999999999,2090,1.2422758620689656
15044A,PINK PAPER PARASOL,1439.0200000000002,458,3.6700000000000004
15044B,BLUE PAPER PARASOL,946.83,321,3.506666666666667
15044C,PURPLE PAPER PARASOL,1022.9900000000001,313,3.851818181818182
15044D,RED PAPER PARASOL,1819.76,644,3.3333333333333335
15056BL,EDWARDIAN PARASOL BLACK,15828.84,2844,6.430311526479751
15056N,EDWARDIAN PARASOL NATURAL,22152.690000000002,3950,6.94886462882096
15056P,EDWARDIAN PARASOL PINK,4354.92,776,6.352222222222222
15056bl,EDWARDIAN PARASOL BLACK,1086.88,87,12.489354838709678
15056n,EDWARDIAN PARASOL NATURAL,1585.2800000000002,127,12.484761904761905
15056p,EDWARDIAN PARASOL PINK,412.48,33,12.5
15058A,BLUE POLKADOT GARDEN PARASOL,1668.49,200,9.208988764044944
15058B,PINK POLKADOT GARDEN PARASOL,1885.27,228,9.890927835051546
15058C,ICE CREAM DESIGN GARDEN PARASOL,1429.82,240,9.33361111111111
15060B,FAIRY CAKE DESIGN UMBRELLA,1807.55,451,4.993053435114504
15060b,FAIRY CAKE DESIGN UMBRELLA,24.869999999999997,3,8.29
16008,SMALL FOLDING SCISSOR(POINTED EDGE),360.71,2892,0.13614285714285712
16010,FOLDING CAMPING SCISSOR W/KNIF & S,3.5999999999999996,30,0.12
16011,ANIMAL STICKERS,367.29,1749,0.21
16012,FOOD/DRINK SPONGE STICKERS,256.2,1220,0.21
16014,SMALL CHINESE STYLE SCISSOR,4335.76,13328,0.4014814814814815
16015,MEDIUM CHINESE STYLE SCISSOR,289.98,662,0.48833333333333334
16016,LARGE CHINESE STYLE SCISSOR,1053.45,1273,0.8460000000000001
16020C,CLEAR STATIONERY BOX SET,69.89999999999999,84,0.8335294117647059
16033,MINI HIGHLIGHTER PENS,100.8,840,0.12
16043,POP ART PUSH DOWN RUBBER,11.759999999999998,98,0.12
16045,POPART WOODEN PENCILS ASST,380.0,8900,0.043478260869565216
16046,TEATIME PEN CASE & PENS,55.25,65,0.85
16048,TEATIME ROUND PENCIL SHARPENER,205.29999999999998,1460,0.3280882352941176
16049,TEATIME GEL PENS ASST,82.08,504,0.24
16052,TEATIME PUSH DOWN RUBBER,115.3,479,0.5892307692307692
16054,POPART RECT PENCIL SHARPENER ASST,140.52,1166,0.1290909090909091
16151A,FLOWERS HANDBAG blue and orange,61.25,49,1.25
16156L,WRAP CAROUSEL,157.5,375,0.42
16156L,"WRAP, CAROUSEL",42.0,100,0.42
16156S,WRAP PINK FAIRY CAKES,2331.0,5800,0.4168862275449102
16161G,WRAP BAD HAIR DAY,70.0,700,0.1
16161M,WRAP  PINK FLOCK,10.5,25,0.42
16161P,WRAP ENGLISH ROSE,2980.42,7201,0.41943548387096774
16161U,WRAP SUKI AND FRIENDS,1687.5,4075,0.41955223880597015
16162L,THE KING GIFT BAG,13.0,20,0.65
16162M,THE KING GIFT BAG 25x24x12cm,11.76,28,0.42
16168M,FUNKY MONKEY GIFT BAG MEDIUM,173.12,371,0.6314634146341463
16169E,WRAP 50'S  CHRISTMAS,1892.46,4563,0.41919999999999996
16169K,WRAP FOLK ART,84.0,200,0.42
16169M,WRAP DAISY CARPET,277.2,660,0.42
16169N,WRAP BLUE RUSSIAN FOLKART,10.5,25,0.42
16169P,WRAP GREEN RUSSIAN FOLKART,21.0,50,0.42
16202A,PASTEL PINK PHOTO ALBUM,3.5,7,0.5
16202B,PASTEL BLUE PHOTO ALBUM,14.5,29,0.5
16202E,BLACK PHOTO ALBUM,7.5,15,0.5
16206B,RED PURSE WITH PINK HEART,8.75,7,1.25
16207A,PINK STRAWBERRY HANDBAG,163.1,60,2.751764705882353
16207B,PINK HEART RED HANDBAG,76.14,29,2.6994444444444445
16216,LETTER SHAPE PENCIL SHARPENER,234.0,3333,0.15244444444444444
16218,CARTOON  PENCIL SHARPENERS,283.31,3821,0.26984375
16219,HOUSE SHAPE PENCIL SHARPENER,407.71999999999997,3048,0.5172
16225,RATTLE SNAKE EGGS,689.35,813,1.4634313725490198
16235,RECYCLED PENCIL WITH RABBIT ERASER,695.4,3068,0.3164880952380952
16236,KITTY PENCIL ERASERS,320.09,1438,0.30455882352941177
16237,SLEEPING CAT ERASERS,1047.93,4991,0.29846938775510207
16238,PARTY TIME PENCIL ERASERS,321.67,1396,0.3123880597014925
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,7.85,7,1.225
16248B,BLUE HOLE PUNCH,16.25,13,1.25
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,42.58,40,1.3088235294117647
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,178.97,472,0.5913559322033899
16259,PIECE OF CAMO STATIONERY SET,326.56,3380,0.0967741935483871
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,20.88,72,0.29
17003,BROCADE RING PURSE,6025.95,23020,0.363402489626556
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,50.400000000000006,24,2.1
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,66.36,81,1.5728571428571427
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,375.93,323,1.9546969696969696
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,595.85,525,1.8828235294117646
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,481.79999999999995,420,1.7676470588235293
17012D,ORIGAMI ROSE INCENSE/CANDLE SET,547.24,461,1.8228865979381443
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET,62.64,44,2.3169999999999997
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,530.6,448,1.7973404255319148
17013D,ORIGAMI ROSE INCENSE IN TUBE,267.82,535,1.2453846153846153
17014A,ORIGAMI VANILLA INCENSE CONES,71.19,155,0.9512499999999999
17021,NAMASTE SWAGAT INCENSE,632.34,2391,0.29411764705882354
17028J,INCENSE BAZAAR PEACH,2.52,6,0.42
17038,PORCELAIN BUDAH INCENSE HOLDER,158.06,1525,0.42
17084A,TRANQUILITY MASALA INCENSE,42.0,200,0.21
17084J,LOVE POTION MASALA INCENSE,47.25,225,0.21
17084N,FAIRY DREAMS INCENSE,313.31,1264,0.3538613861386139
17084P,DRAGONS BLOOD INCENSE,104.44,423,0.3507692307692308
17084R,ASSORTED INCENSE PACK,760.3199999999999,4032,0.20259259259259257
17090A,LAVENDER INCENSE 40 CONES IN TIN,107.45,109,1.17
17090D,VANILLA INCENSE 40 CONES IN TIN,36.25,29,1.25
17091A,LAVENDER INCENSE IN TIN,98.91,171,0.7976000000000001
17091J,VANILLA INCENSE IN TIN,920.67,2084,0.7027272727272726
17096,ASSORTED LAQUERED INCENSE HOLDERS,455.9800000000001,2545,0.3025
17107D,FLOWER FAIRY 5 DRAWER LINERS,150.45,59,2.55
17107D,FLOWER FAIRY 5 SUMMER DRAW LINERS,15.3,6,2.55
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",267.75,105,2.55
17109D,FLOWER FAIRY INCENSE BOUQUET,32.349999999999994,61,0.9039999999999999
17129F,BLUE GLASS GEMS IN BAG,553.8299999999999,588,1.37
17136A,BLUE STONES ON WIRE FOR CANDLE,29.59,352,0.10294117647058823
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,11.34,27,0.42
17165D,ASS COL LARGE SAND FROG P'WEIGHT,28.35,27,1.05
17174,ASSTD RASTA KEY-CHAINS,3.7800000000000002,9,0.42
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,15.0,4,3.75
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,395.61,5884,0.27483870967741936
18094C,WHITE AND BLUE CERAMIC OIL BURNER,283.93,192,1.955952380952381
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER,12.75,5,2.55
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,1591.01,695,3.114782608695652
18098C,PORCELAIN BUTTERFLY OIL BURNER,658.75,213,3.680980392156863
18098c,PORCELAIN BUTTERFLY OIL BURNER,263.12,52,5.06
20615,BLUE POLKADOT PASSPORT COVER,466.99,309,2.5613684210526313
20616,CHERRY BLOSSOM PASSPORT COVER,243.53,194,1.8074647887323942
20617,FIRST CLASS PASSPORT COVER,194.94,93,2.251860465116279
20618,QUEEN OF THE SKIES PASSPORT COVER,286.39,148,2.0278947368421054
20619,TROPICAL PASSPORT COVER,439.65,262,2.136767676767677
20622,VIP PASSPORT COVER,94.04,43,2.375294117647059
20622,VIPPASSPORT COVER,209.66,142,2.421764705882353
20652,BLUE POLKADOT LUGGAGE TAG,346.86,265,1.575897435897436
20653,CHERRY BLOSSOM LUGGAGE TAG,95.17999999999999,73,1.4815151515151515
20654,FIRST CLASS LUGGAGE TAG,193.59,152,1.385
20655,QUEEN OF SKIES LUGGAGE TAG,292.29,197,1.7224242424242426
20657,TROPICAL LUGGAGE TAG,105.91,73,1.720909090909091
20658,RED RETROSPOT LUGGAGE TAG,652.11,433,1.7522429906542056
20659,ECONOMY LUGGAGE TAG,246.84,158,1.63984375
20661,BLUE POLKADOT PURSE,141.15,44,3.397878787878788
20662,FIRST CLASS HOLIDAY PURSE,90.42,31,2.879
20663,QUEEN OF THE SKIES HOLIDAY PURSE,66.26,25,2.693
20664,TROPICAL HOLIDAY PURSE,81.66,32,2.5416666666666665
20665,RED RETROSPOT PURSE,1546.2700000000002,461,4.068333333333333
20666,ECONOMY HOLIDAY PURSE,41.53,30,1.7123529411764706
20667,CHERRY BLOSSOM PURSE,49.69,20,2.490625
20668,DISCO BALL CHRISTMAS DECORATION,1501.4,12883,0.16444954128440367
20669,RED HEART LUGGAGE TAG,447.34,304,1.6915841584158415
20670,VIP HOLIDAY PURSE,44.04,14,3.2436363636363637
20671,BLUE TEATIME PRINT BOWL,12.5,10,1.25
20674,GREEN POLKADOT BOWL,2016.23,1563,1.5633009708737866
20675,BLUE POLKADOT BOWL,3983.12,3120,1.5869753086419751
20676,RED RETROSPOT BOWL,6374.81,5023,1.631751662971175
20677,PINK POLKADOT BOWL,4747.34,3674,1.6501483679525224
20678,LARGE BLACK DIAMANTE HAIRSLIDE,6.6,4,1.65
20679,EDWARDIAN PARASOL RED,10021.42,1710,7.003669724770643
20681,PINK POLKADOT CHILDRENS UMBRELLA,506.96,140,4.205744680851064
20682,RED RETROSPOT CHILDRENS UMBRELLA,4171.33,1235,4.018487394957983
20684,STRAWBERRY DREAM CHILDS UMBRELLA,270.56,80,3.5517142857142856
20685,DOORMAT RED RETROSPOT,28049.54,4088,8.953529411764706
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,922.67,267,3.8718181818181816
20694,FLORAL PINK MONSTER,187.54,43,5.078235294117647
20695,FLORAL BLUE MONSTER,21.25,5,4.25
20696,FLORAL SOFT CAR TOY,230.81,54,4.7219999999999995
20697,LITTLE GREEN MONSTER SOFT TOY,48.449999999999996,19,2.55
20698,LITTLE PINK MONSTER SOFT TOY,43.35,17,2.55
20699,MOUSEY LONG LEGS SOFT TOY,266.03,97,3.0048780487804874
20700,GREEN CAT FLORAL CUSHION COVER,345.17,73,4.981111111111112
20701,PINK CAT FLORAL CUSHION COVER,100.97,25,4.066666666666666
20702,PINK PADDED MOBILE,573.54,134,4.346190476190476
20703,BLUE PADDED SOFT MOBILE,4.25,1,4.25
20704,MR ROBOT SOFT TOY,697.7,216,5.847727272727273
20705,MRS ROBOT SOFT TOY,428.85,143,4.807142857142857
20707,CRAZY DAISY HEART DECORATION,468.39,464,1.0885906040268456
20711,JUMBO BAG TOYS,11014.62,5007,3.1267175572519084
20712,JUMBO BAG WOODLAND ANIMALS,22092.420000000002,9773,2.9266168009205984
20713,JUMBO BAG OWLS,23001.06,11429,2.7772809667673717
20716,PARTY FOOD SHOPPER BAG,469.63,400,1.3158108108108109
20717,STRAWBERRY SHOPPER BAG,3561.98,2855,1.6730215827338129
20718,RED RETROSPOT SHOPPER BAG,6604.29,4769,1.7783737024221455
20719,WOODLAND CHARLOTTE BAG,16744.45,13290,1.2108571428571429
20723,STRAWBERRY CHARLOTTE BAG,12548.15,9793,1.2022176308539945
20724,RED RETROSPOT CHARLOTTE BAG,21773.39,17761,1.1461973180076628
20725,LUNCH BAG RED RETROSPOT,35572.36,19232,2.131853257432005
20725,LUNCH BAG RED SPOTTY,290.0,200,1.45
20726,LUNCH BAG WOODLAND,18283.78,9909,2.1818446601941743
20727,LUNCH BAG  BLACK SKULL.,22346.96,12195,2.1077863182167564
20728,LUNCH BAG CARS BLUE,21699.48,11786,2.063580034423408
20731,POSY CANDY BAG,109.96,92,1.0925
20733,GOLD MINI TAPE MEASURE,956.36,1234,0.845873786407767
20734,SILVER MINI TAPE MEASURE,271.21999999999997,158,1.7962962962962963
20735,BLACK MINI TAPE MEASURE,625.8,623,1.1194642857142856
20748,KENSINGTON COFFEE SET,751.17,57,13.468235294117648
20749,ASSORTED COLOUR MINI CASES,12550.57,1762,8.065298701298701
20750,RED RETROSPOT MINI CASES,12634.98,1747,8.121839378238343
20751,FUNKY WASHING UP GLOVES ASSORTED,2041.5200000000002,971,2.3687192118226603
20752,BLUE POLKADOT WASHING UP GLOVES,920.45,407,2.41722972972973
20754,RETROSPOT RED WASHING UP GLOVES,3088.86,1457,2.5132573289902282
20755,BLUE PAISLEY POCKET BOOK,271.16999999999996,306,0.9903225806451613
20756,GREEN FERN POCKET BOOK,53.55,63,0.85
20757,RED DAISY POCKET BOOK,136.64,158,0.9188235294117647
20758,ABSTRACT CIRCLES POCKET BOOK,135.15,159,0.85
20759,CHRYSANTHEMUM POCKET BOOK,54.4,64,0.85
20760,GARDEN PATH POCKET BOOK,58.65,69,0.85
20761,BLUE PAISLEY SKETCHBOOK,505.97,120,4.461746031746031
20762,GREEN FERN SKETCHBOOK,420.08,106,4.153214285714286
20763,DAISY SKETCHBOOK,205.04,73,3.9829629629629633
20764,ABSTRACT CIRCLES SKETCHBOOK,603.3100000000001,142,4.66961038961039
20765,CHRYSANTHEMUM SKETCHBOOK,416.05,102,4.255762711864407
20766,GARDEN PATH SKETCHBOOK,493.57,122,4.450862068965517
20767,BLUE PAISLEY JOURNAL,656.0600000000001,250,2.8722784810126583
20768,GREEN FERN JOURNAL,438.57,176,2.647272727272727
20769,DAISY JOURNAL,217.56,80,2.7467647058823528
20770,ABSTRACT CIRCLE JOURNAL,447.25,184,2.4995833333333333
20771,CHRYSANTHEMUM  JOURNAL,267.13,102,2.7685
20772,GARDEN PATH JOURNAL,621.19,247,2.752153846153846
20773,BLUE PAISLEY NOTEBOOK,92.39999999999999,56,1.6499999999999997
20774,GREEN FERN NOTEBOOK,141.23999999999998,86,1.6406666666666667
20775,DAISY NOTEBOOK,233.54,134,1.7179687499999998
20777,CHRYSANTHEMUM NOTEBOOK,282.49,169,1.7029999999999998
20778,GARDEN PATH NOTEBOOK,24.75,15,1.65
20780,BLACK EAR MUFF HEADPHONES,312.7,47,7.693793103448276
20781,GOLD EAR MUFF HEADPHONES,212.26,35,6.073200000000001
20782,CAMOUFLAGE EAR MUFF HEADPHONES,368.08,53,7.535185185185185
20785,FUSCHIA RETRO BAR STOOL,523.3000000000001,14,39.15
20793,BLUE TILED TRAY,54.0,8,6.75
20794,BLUE  TILE HOOK,282.79,99,3.573928571428571
20795,LARGE BLUE PROVENCAL CERAMIC BALL,113.05,49,2.653636363636364
20796,SMALL BLUE PROVENCAL CERAMIC BALL,103.93999999999998,62,1.832222222222222
20798,CLEAR MILKSHAKE GLASS,75.60000000000001,36,2.1
20801,LARGE PINK GLASS SUNDAE DISH,1157.8,1013,1.610731707317073
20802,SMALL GLASS SUNDAE DISH CLEAR,984.47,739,1.942063492063492
20803,SMALL PINK GLASS SUNDAE DISH,476.38,939,1.1465
20816,GOLD FLOWER CUSHION COVER,15.6,8,1.95
20818,GOLD TEDDY BEAR,42.7,15,5.54
20819,SILVER TEDDY BEAR,244.72,64,4.016666666666667
20820,SILVER LOOKING MIRROR,24.75,5,4.95
20821,GOLDIE LOOKING MIRROR,84.15,17,4.95
20823,GOLD WINE GOBLET,129.56,164,0.79
20826,SILVER APERITIF GLASS,128.4,276,0.8225
20827,GOLD APERITIF GLASS,34.32,88,0.39
20828,GLITTER BUTTERFLY CLIPS,3074.78,1128,3.1662903225806454
20829,GLITTER HANGING BUTTERFLY STRING,2722.9500000000003,1314,2.452060301507538
20830,SILVER PHOTO FRAME,409.83,136,3.0435135135135134
20831,GOLD PHOTO FRAME,466.53,216,2.737948717948718
20832,RED FLOCK LOVE HEART PHOTO FRAME,572.67,1067,0.7425301204819278
20835,FRENCH LATTICE CUSHION COVER,65.8,67,2.10375
20836,FRENCH PAISLEY CUSHION COVER,141.10000000000002,170,0.83
20837,FRENCH FLORAL CUSHION COVER,142.47,141,0.9713333333333334
20838,FRENCH LATTICE CUSHION COVER,461.45,385,1.8773684210526316
20839,FRENCH PAISLEY CUSHION COVER,840.4399999999999,575,2.385047619047619
20840,FRENCH FLORAL CUSHION COVER,632.3199999999999,533,2.004
20845,ZINC HEART LATTICE 2 WALL PLANTER,120.64999999999999,19,6.35
20846,ZINC HEART LATTICE T-LIGHT HOLDER,957.32,716,1.6134831460674157
20847,ZINC HEART LATTICE CHARGER LARGE,217.57999999999998,52,4.592222222222222
20848,ZINC HEART LATTICE CHARGER SMALL,61.95,21,2.95
20851,ZINC HEART LATTICE TRAY OVAL,53.550000000000004,9,5.95
20854,BLUE PATCH PURSE PINK HEART,383.02,242,1.685609756097561
20856,DENIM PATCH PURSE PINK BUTTERFLY,357.28999999999996,216,1.670327868852459
20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,52.8,32,1.65
20860,GOLD COSMETICS BAG WITH BUTTERFLY,2.1,1,2.1
20861,GOLD COSMETIC BAG PINK STAR,4.2,2,2.1
20866,BLUE ROSE FABRIC MIRROR,709.7,597,1.4886666666666666
20867,PINK ROSE FABRIC MIRROR,393.46999999999997,331,1.3503225806451613
20868,SILVER FABRIC MIRROR,219.35,458,0.7071739130434783
20869,GOLD FABRIC MIRROR,86.76,180,0.716
20871,OPULENT VELVET SET/3 CANDLES,8.42,2,4.21
20878,SET/9 CHRISTMAS T-LIGHTS SCENTED,30.0,24,1.25
20886,BOX OF 9 PEBBLE CANDLES,986.23,485,2.4765384615384614
20892,SET/3 TALL GLASS CANDLE HOLDER PINK,89.22,4,21.243333333333332
20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,609.02,268,3.0580769230769227
20894,HANGING BAUBLE T-LIGHT HOLDER LARGE,108.71000000000001,33,3.707333333333333
20897,VINTAGE NOTEBOOK PARIS DAYS,298.27,107,3.1816666666666666
20898,VINTAGE NOTEBOOK TRAVELOGUE,105.73,38,2.6350000000000002
20901,VINTAGE KEEPSAKE BOX PINK FLOWER,85.13,19,4.426
20902,VINTAGE KEEPSAKE BOX PARIS DAYS,686.86,112,6.938035714285715
20903,VINTAGE KEEPSAKE BOX TRAVELOGUE,441.89,82,5.576964285714285
20906,VINTAGE NOTEBOOK BEAUTY GIRL,8.850000000000001,3,2.95
20910,VINTAGE PHOTO ALBUM PARIS DAYS,50.8,8,6.349999999999999
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,17623.350000000002,6073,3.2893721973094174
20914,SET/5 RED SPOTTY LID GLASS BOWLS,734.4,288,2.55
20931,BLUE POT PLANT CANDLE,1060.9,299,5.06
20932,PINK POT PLANT CANDLE,628.7900000000001,204,4.676
20933,YELLOW POT PLANT CANDLE,71.05,23,3.127777777777778
20934,SET/3 POT PLANT CANDLES,424.46000000000004,68,7.133125
20935,ROUND CACTUS CANDLE,17.700000000000003,6,2.95
20936,FORKED CACTUS CANDLE,319.66,100,3.7341176470588238
20941,FROG CANDLE,83.78,64,1.376
20954,*USB Office Mirror Ball,16.94,2,8.47
20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,1146.52,822,1.7798039215686274
20960,WATERMELON BATH SPONGE,72.49,29,2.4899999999999998
20961,STRAWBERRY BATH SPONGE,1745.43,1232,1.7937554585152837
20963,APPLE BATH SPONGE,1911.17,1336,1.8230172413793104
20964,POLYESTER FILLER PAD 60x40cm,5.1,2,2.55
20966,SANDWICH BATH SPONGE,1022.8,719,1.9605154639175257
20967,GREY FLORAL FELTCRAFT SHOULDER BAG,1027.94,265,4.115301204819277
20969,RED FLORAL FELTCRAFT SHOULDER BAG,7229.43,1960,4.268562091503268
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,4232.13,1116,4.193650190114068
20971,PINK BLUE FELT CRAFT TRINKET BOX,13828.1,10993,1.4207224334600759
20972,PINK CREAM FELT CRAFT TRINKET BOX,9128.06,7337,1.4245659163987139
20973,12 PENCIL SMALL TUBE WOODLAND,3210.27,4497,0.7885479452054794
20974,12 PENCILS SMALL TUBE SKULL,4527.43,6976,0.7523415977961433
20975,12 PENCILS SMALL TUBE RED RETROSPOT,4383.27,6633,0.7378688524590163
20977,36 PENCILS TUBE WOODLAND,2328.64,1739,1.5118279569892472
20978,36 PENCILS TUBE SKULLS,2395.05,1795,1.6181954887218044
20979,36 PENCILS TUBE RED RETROSPOT,4723.7300000000005,3734,1.5887384615384617
20980,36 PENCILS TUBE POSY,76.91,79,1.061
20981,12 PENCILS TALL TUBE WOODLAND,1740.57,1974,0.96316
20982,12 PENCILS TALL TUBE SKULLS,1880.6699999999998,2151,0.957104247104247
20983,12 PENCILS TALL TUBE RED RETROSPOT,2374.81,2737,0.9340072202166064
20984,12 PENCILS TALL TUBE POSY,1166.07,3785,0.38602272727272724
20985,HEART CALCULATOR,1540.59,1179,1.6459558823529412
20986,BLUE CALCULATOR RULER,829.74,654,1.5937068965517243
20992,JAZZ HEARTS PURSE NOTEBOOK,1944.6299999999999,4425,0.5452577319587628
20996,JAZZ HEARTS ADDRESS BOOK,726.89,3191,0.3208407079646018
20997,ROSE DU SUD CUSHION COVER,257.61,59,4.274705882352941
20998,ROSE DU SUD OVEN GLOVE,505.20000000000005,185,2.66231884057971
21000,ROSE DU SUD COSMETICS BAG,360.84,96,3.6173076923076923
21001,ROSE DU SUD WASHBAG,348.19,73,4.6192
21002,ROSE DU SUD DRAWSTRING BAG,428.65999999999997,125,3.3995454545454544
21003,ROSE DU SUD CUSHION COVER,460.58,78,5.887391304347826
21009,ETCHED GLASS STAR TREE DECORATION,1.25,1,1.25
21011,GLITTER SNOW PEAR TREE DECORATION,28.999999999999996,20,1.45
21012,ANTIQUE ALL GLASS CANDLESTICK,2614.05,1169,2.3111940298507463
21014,SWISS CHALET TREE DECORATION,598.8199999999999,1385,0.6728455284552844
21015,DARK BIRD HOUSE TREE DECORATION,589.55,1483,0.6625174825174824
21018,BIRD BOX CHRISTMAS TREE DECORATION,22.06,24,1.087142857142857
21025,SPACE FROG,233.52,174,1.5507142857142857
21026,SPACE OWL,315.75,255,1.5561764705882353
21027,NINJA RABBIT PINK,187.79,167,1.1130232558139534
21028,NINJA RABBIT BLACK,239.24,187,1.5422413793103449
21030,SPACE CADET RED,159.7,131,1.1894117647058824
